"","title","published_date","publication_location","publication_4","publication_type_5","length","section","word_count","countries","byline","agg_copyright","cite","company","headline","hlead","publication_16","publication_type_17","pub_copyright","show","term","ticker"
"11","The perception is that it's the same' Despite Baltimore crime being down, some residents still feel unsafe","January 12, 2025 Sunday","Maryland","The Baltimore Sun","News","1644","MAIN;A;Pg. 1","1644",NA,"Alex Mann",NA,NA,NA,"The perception is that it's the same' Despite Baltimore crime being down, some residents still feel unsafe","The perception is that it's the same' Despite Baltimore crime being down, some residents still feel unsafe Arch McKown, safety committee chairperson of the Patterson Park Neighborhood Association. Lloyd Fox/Staff The Rev. Donte Hickman stands in a church on Park Heights Avenue that he is in the process of renovating. Barbara Haddock Taylor/Staff Crime is down in Baltimore, but concerns about it still pervade the congregation of Southern Baptist Church in Broadway East, the sanctuary's pastor says. ""People are talking about crime and the ethos of the lack of safety,"" Bishop Donte L. Hickman Sr. said. ""For people that come out, whether it's in the day or in the night, [they] don't feel safe."" Historic declines in homicides and nonfatal shootings in Baltimore drove violent crime down overall in the city by 3% in 2024, compared to 2023, and 1% over 2022. Property crime, which includes burglaries and thefts, dropped 19% compared to 2023, although the figure is still 16% greater than in 2022. ""The perception is that it's the same,"" Hickman said. ""Quite frankly, I've had members of my church of all ages that have necessitated us to pay for security personnel to have them come to church.""","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"12","Juvenile crime takes toll on Baltimore residents","October 28, 2024 Monday","Maryland","The Baltimore Sun","News","222","MAIN;A;Pg. 3","222",NA,"Vincent Hill FOX45 News",NA,NA,NA,"Juvenile crime takes toll on Baltimore residents","Juvenile crime takes toll on Baltimore residents Over the last week, juvenile crime has taken a toll on some Baltimore City residents. Tuesday, three juveniles carjacked a female at gunpoint, leading police on a chase, before crashing. Within 24 hours, they were back on the streets, under the supervision of a GPS monitor.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"13","New data shows Baltimore juvenile crime rates soaring","July 30, 2024 Tuesday","Maryland","The Baltimore Sun","News","285","MAIN;A;Pg. 6","285",NA,"Rebecca Pryor FOX45 News",NA,NA,NA,"New data shows Baltimore juvenile crime rates soaring","New data shows Baltimore juvenile crime rates soaring New data from the Baltimore City State's Attorney's office shows juvenile crime is skyrocketing across the city. In 2022, 191 juveniles faced criminal charges. In 2023, that grew to 304, and in 2024 to 590 - a 208% rise in overall juvenile crime in the past three years.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"14","Elderly man is ruthlessly killed in random street assault in crime-ridden Baltimore","August 19, 2024 Monday","International","MailOnline","News","431","NEWS;Version:1","431","United Kingdom of Great Britain and Northern Ireland","Noa Halff For Dailymail.Com",NA,NA,NA,"Elderly man is ruthlessly killed in random street assault in crime-ridden Baltimore","Elderly man is ruthlessly killed in random street assault in crime-ridden Baltimore • READ MORE: Man dies after he was sedated and restrained by Baltimore medics An elderly veteran was killed in a seemingly random street assault in crime-ridden Baltimore.","MailOnline","Web Publication",NA,NA,NA,NA
"15","Baltimore leaders celebrate reduction in violent crime","January 3, 2025 Friday","Maryland","The Daily Record (Baltimore, MD)","News","459","NEWS","459",NA,"Ian Round",NA,NA,NA,"Baltimore leaders celebrate reduction in violent crime","Baltimore leaders celebrate reduction in violent crime Violent crime fell in Baltimore City and across the state last year, with the city recording its lowest number of homicides since 2011. There were 201 homicides in the city in 2024, according to the Baltimore Police Department, a significant drop from the 262 homicides in 2023. Last year’s figure represented a 40.5% drop from the 338 homicides in the city in 2021.","Daily Record, The (Baltimore, MD)","Newspaper",NA,NA,NA,NA
"16","Take a realistic approach to youth crime","January 4, 2025 Saturday","Maryland","The Baltimore Sun","News","790","MAIN;A;Pg. 10","790",NA,NA,NA,NA,NA,"Take a realistic approach to youth crime","Take a realistic approach to youth crime In The Baltimore Sun article (""What to do about the juvenile crime epidemic plaguing Baltimore | Guest Commentary,"" Dec. 26) Eric Braun asks the question, ""What to do about the juvenile crime epidemic plaguing Baltimore,"" but his solution does not really address the crime from the POV of the low income, crime-infused environment in which these young boys are living. In Baltimore City in 2016, 156 juveniles were arrested pending adult criminal charges. This number has been growing and now, in 2024, there have been 163 arrests since November.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"17","Baltimore City‘s lawsuit against 'ghost gun' retailer will go to trial","October 21, 2024 Monday","Maryland","The Daily Record (Baltimore, MD)","News","687","NEWS","687",NA,"Ian Round",NA,NA,NA,"Baltimore City‘s lawsuit against 'ghost gun' retailer will go to trial","Baltimore City‘s lawsuit against 'ghost gun' retailer will go to trial Baltimore City’s lawsuit against an Anne Arundel County -based “ghost gun” retailer will proceed to trial after a city judge last week rejected the retailer’s request to dismiss the case. City Circuit Judge Shannon Avery rejected Hanover Armory’s motion for summary judgment at a hearing Oct. 15, saying there were “disputes as to material facts” about the company’s liability for crime in Baltimore.","Daily Record, The (Baltimore, MD)","Newspaper",NA,NA,NA,NA
"18","Seventeen Individuals Indicted Alleging A Sophisticated Nationwide Money Laundering Scheme Originating With Violent Crime In Baltimore City","October 11, 2024 Friday","International","Legal Monitor Worldwide","News","1137",NA,"1137","Jordan, Hashemite Kingdom of",NA,NA,NA,NA,"Seventeen Individuals Indicted Alleging A Sophisticated Nationwide Money Laundering Scheme Originating With Violent Crime In Baltimore City","Seventeen Individuals Indicted Alleging A Sophisticated Nationwide Money Laundering Scheme Originating With Violent Crime In Baltimore City Baltimore, Maryland 17 individualswere indicted yesterday in aDrug Enforcement Administration andDepartment of Homeland Security investigation involving a sophisticated money laundering scheme and illegal marijuana distribution network resulting in the seizure of over $6,000,000 and over 2,000 pounds of marijuana in illegal proceeds to date. The investigation which was undertaken by theDrug Enforcement Administration-Washington Division andDepartment of Homeland Security-Baltimore Field Office (HSI), with support from DEA offices in New Jersey , New York , Washington, and Oregon - began in March 2023 with two separate non-fatal shootings of one individual in Baltimore, Maryland , that has subsequently revealed a sprawling network of individuals laundering millions of dollars generated from the illegal distribution of massive quantities of marijuana. That network includes large-scale launderers operating a Chinese Money Laundering Organization (MLO) in New York city , and drug traffickers operating in Maryland , sending large quantities of bulk cash proceeds from Maryland to other states, including New York , New Jersey , and Oregon to obtain further shipments of marijuana and to conceal the source of the proceeds.","Legal Monitor Worldwide","Newspaper",NA,NA,NA,NA
"19","Baltimore risks too much by embracing resistance under Trump","January 10, 2025 Friday","Maryland","The Baltimore Sun","News","926","MAIN;A;Pg. 11","926",NA,"Christopher Anderson",NA,"FOX ENTERTAINMENT GROUP INC","FOX ENTERTAINMENT GROUP INC","Baltimore risks too much by embracing resistance under Trump","Baltimore risks too much by embracing resistance under Trump President-elect Donald Trump speaks on Wednesday at the Capitol in Washington. Jose Luis Magana/ap As the incoming Trump administration prepares for its second term, the nation finds itself at a crossroads. The peaceful transfer of power, a hallmark of American democracy, feels anything but peaceful this time around. Tensions are high, rhetoric is sharp, and Baltimore, like many urban centers across the country, sits squarely in the crosshairs of a political showdown. At the heart of this conflict lies the issue of immigration enforcement, and how cities like Baltimore choose to navigate federal mandates could have lasting consequences - not just politically, but for the safety and well-being of our residents. President-elect Donald Trump's advisers have made their intentions clear that cities and states that refuse to assist in mass deportation efforts risk losing federal funding. Tom Homan, Trump's pick for ""border czar,"" recently said on Fox News that jurisdictions refusing to comply with federal immigration enforcement could see significant financial repercussions. Baltimore, under the leadership of Mayor Brandon Scott and Police Commissioner Richard Worley, has taken a defiant stance, vowing not to allow city law enforcement resources to be diverted toward immigration enforcement. Similarly, Howard County Executive Calvin Ball has echoed this sentiment, citing the county's 2020 Liberty Act, which prohibits local law enforcement from honoring Immigration and Customs Enforcement detainers, regardless of the severity of the crime committed.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"20","SEVENTEEN INDIVIDUALS INDICTED ALLEGING A SOPHISTICATED NATIONWIDE MONEY LAUNDERING SCHEME ORIGINATING WITH VIOLENT CRIME IN BALTIMORE CITY","October 10, 2024 Thursday","U.S. Federal","US Fed News","News","1187",NA,"1187",NA,NA,NA,"US DEPARTMENT OF JUSTICE","US DEPARTMENT OF JUSTICE","SEVENTEEN INDIVIDUALS INDICTED ALLEGING A SOPHISTICATED NATIONWIDE MONEY LAUNDERING SCHEME ORIGINATING WITH VIOLENT CRIME IN BALTIMORE CITY","SEVENTEEN INDIVIDUALS INDICTED ALLEGING A SOPHISTICATED NATIONWIDE MONEY LAUNDERING SCHEME ORIGINATING WITH VIOLENT CRIME IN BALTIMORE CITY WASHINGTON, Oct. 10 -- The U.S. Department of Justice's U.S. Attorney's office for XXXXXX (insert district) issued the following press release: Baltimore, Maryland - 17 individualswere indicted yesterday in aDrug Enforcement Administration andDepartment of Homeland Security investigation involving a sophisticated money laundering scheme and illegal marijuana distribution network resulting in the seizure of over $6,000,000 and over 2,000 pounds of marijuana in illegal proceeds to date. The investigation - which was undertaken by theDrug Enforcement Administration-Washington Division andDepartment of Homeland Security-Baltimore Field Office (""HSI""), with support from DEA offices in New Jersey , New York , Washington, and Oregon - began in March 2023 with two separate non-fatal shootings of one individual in Baltimore, Maryland , that has subsequently revealed a sprawling network of individuals laundering millions of dollars generated from the illegal distribution of massive quantities of marijuana. That network includes large-scale launderers operating a Chinese Money Laundering Organization (MLO) in New York city , and drug traffickers operating in Maryland , sending large quantities of bulk cash proceeds from Maryland to other states, including New York , New Jersey , and Oregon to obtain further shipments of marijuana and to conceal the source of the proceeds.","US Fed News","Newswire",NA,NA,NA,NA
"21","SEVENTEEN INDIVIDUALS INDICTED ALLEGING A SOPHISTICATED NATIONWIDE MONEY LAUNDERING SCHEME ORIGINATING WITH VIOLENT CRIME IN BALTIMORE CITY","October 10, 2024 Thursday","U.S. Federal","States News Service","News","1156",NA,"1156",NA,"States News Service",NA,"US DEPARTMENT OF HOMELAND SECURITY","US DEPARTMENT OF HOMELAND SECURITY","SEVENTEEN INDIVIDUALS INDICTED ALLEGING A SOPHISTICATED NATIONWIDE MONEY LAUNDERING SCHEME ORIGINATING WITH VIOLENT CRIME IN BALTIMORE CITY","SEVENTEEN INDIVIDUALS INDICTED ALLEGING A SOPHISTICATED NATIONWIDE MONEY LAUNDERING SCHEME ORIGINATING WITH VIOLENT CRIME IN BALTIMORE CITY The following information was released by the United States Attorney's Office for the District of Maryland : 17 individuals were indicted yesterday in a Drug Enforcement Administration and Department of Homeland Security investigation involving a sophisticated money laundering scheme and illegal marijuana distribution network resulting in the seizure of over $6,000,000 and over 2,000 pounds of marijuana in illegal proceeds to date. The investigation which was undertaken by the Drug Enforcement Administration-Washington Division and Department of Homeland Security-Baltimore Field Office (""HSI""), with support from DEA offices in New Jersey , New York , Washington, and Oregon - began in March 2023 with two separate non-fatal shootings of one individual in Baltimore, Maryland , that has subsequently revealed a sprawling network of individuals laundering millions of dollars generated from the illegal distribution of massive quantities of marijuana. That network includes large-scale launderers operating a Chinese Money Laundering Organization (MLO) in New York city , and drug traffickers operating in Maryland , sending large quantities of bulk cash proceeds from Maryland to other states, including New York , New Jersey , and Oregon to obtain further shipments of marijuana and to conceal the source of the proceeds.","States News Service","Newswire",NA,NA,NA,NA
"22","U.S Attorney s Office Credits Multi-Jurisdictional Crime Reduction Collaborative for Sharp Decline in Violent Crime Across Maryland","January 2, 2025 Thursday","International","Impact News Service","News","457",NA,"457","Europe",NA,NA,NA,NA,"U.S Attorney s Office Credits Multi-Jurisdictional Crime Reduction Collaborative for Sharp Decline in Violent Crime Across Maryland","U.S Attorney s Office Credits Multi-Jurisdictional Crime Reduction Collaborative for Sharp Decline in Violent Crime Across Maryland","Impact News Service","Newswire",NA,NA,NA,NA
"23","Baltimore: Insert a catchy slogan here","December 22, 2024 Sunday","Maryland","The Baltimore Sun","News","507","MAIN;A;Pg. 12","507",NA,NA,NA,NA,NA,"Baltimore: Insert a catchy slogan here","Baltimore: Insert a catchy slogan here In 1981, then-Baltimore Mayor William Donald Schaefer, doffing his hat and holding his favorite bathtub toy, prepared to dive into the seal pool at the National Aquarium in the Inner Harbor. staff file Market research has so far produced some good news and some bad news for the Greater Baltimore Committee and those seeking to improve the city's economic future. The good news is that a survey of business leaders  found outsiders hold the impression Baltimore is friendly, connected and open-minded. The bad is that a lot of them also have concerns about safety and quality of life in Maryland 's largest city. But what's really missing? A compelling and consistent sales pitch - what is commonly called ""branding"" - that sets Baltimore apart as a place people should want to do business.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"24","Md. U.S. Attorney: Seventeen Individuals Indicted Alleging Sophisticated Nationwide Money Laundering Scheme Originating With Violent Crime in Baltimore City","October 10, 2024 Thursday","U.S. Federal","Targeted News Service","News","1199",NA,"1199",NA,"Targeted News Service",NA,"US DEPARTMENT OF HOMELAND SECURITY","US DEPARTMENT OF HOMELAND SECURITY","Md. U.S. Attorney: Seventeen Individuals Indicted Alleging Sophisticated Nationwide Money Laundering Scheme Originating With Violent Crime in Baltimore City","Md. U.S. Attorney: Seventeen Individuals Indicted Alleging Sophisticated Nationwide Money Laundering Scheme Originating With Violent Crime in Baltimore City The office of the U.S. Attorney for the District of Maryland issued the following news release: 17 individuals were indicted yesterday in a Drug Enforcement Administration and Department of Homeland Security investigation involving a sophisticated money laundering scheme and illegal marijuana distribution network resulting in the seizure of over $6,000,000 and over 2,000 pounds of marijuana in illegal proceeds to date. The investigation - which was undertaken by the Drug Enforcement Administration-Washington Division and Department of Homeland Security-Baltimore Field Office (""HSI""), with support from DEA offices in New Jersey , New York , Washington, and Oregon - began in March 2023 with two separate non-fatal shootings of one individual in Baltimore, Maryland , that has subsequently revealed a sprawling network of individuals laundering millions of dollars generated from the illegal distribution of massive quantities of marijuana. That network includes large-scale launderers operating a Chinese Money Laundering Organization (MLO) in New York city , and drug traffickers operating in Maryland , sending large quantities of bulk cash proceeds from Maryland to other states, including New York , New Jersey , and Oregon to obtain further shipments of marijuana and to conceal the source of the proceeds.","Targeted News Service","Newswire",NA,NA,NA,NA
"25","U.S. ATTORNEY'S OFFICE CREDITS MULTI-JURISDICTIONAL CRIME REDUCTION COLLABORATIVE FOR SHARP DECLINE IN VIOLENT CRIME ACROSS MARYLAND","January 2, 2025 Thursday","U.S. Federal","States News Service","News","546",NA,"546",NA,"States News Service",NA,"US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","U.S. ATTORNEY'S OFFICE CREDITS MULTI-JURISDICTIONAL CRIME REDUCTION COLLABORATIVE FOR SHARP DECLINE IN VIOLENT CRIME ACROSS MARYLAND","U.S. ATTORNEY'S OFFICE CREDITS MULTI-JURISDICTIONAL CRIME REDUCTION COLLABORATIVE FOR SHARP DECLINE IN VIOLENT CRIME ACROSS MARYLAND The following information was released by the United States Attorney's Office for the District of Maryland: Today, the U.S. Attorney's Office for the District of Maryland announced that statewide violent crime continued to significantly decline in 2024. In Maryland , homicides and non-fatal shootings are down, and Baltimore City's violent-crime rate dropped for the third year in a row.","States News Service","Newswire",NA,NA,NA,NA
"26","U.S. ATTORNEY'S OFFICE CREDITS MULTI-JURISDICTIONAL CRIME REDUCTION COLLABORATIVE FOR SHARP DECLINE IN VIOLENT CRIME ACROSS MARYLAND","January 2, 2025 Thursday","U.S. Federal","US Fed News","News","614",NA,"614",NA,NA,NA,"US DEPARTMENT OF JUSTICE","US DEPARTMENT OF JUSTICE","U.S. ATTORNEY'S OFFICE CREDITS MULTI-JURISDICTIONAL CRIME REDUCTION COLLABORATIVE FOR SHARP DECLINE IN VIOLENT CRIME ACROSS MARYLAND","U.S. ATTORNEY'S OFFICE CREDITS MULTI-JURISDICTIONAL CRIME REDUCTION COLLABORATIVE FOR SHARP DECLINE IN VIOLENT CRIME ACROSS MARYLAND WASHINGTON, Jan. 2 -- The U.S. Department of Justice's U.S. Attorney's office for XXXXXX (insert district) issued the following press release: Baltimore, Maryland - Today, the U.S. Attorney's Office for the District of Maryland announced that statewide violent crime continued to significantly decline in 2024. In Maryland , homicides and non-fatal shootings are down, and Baltimore City's violent-crime rate dropped for the third year in a row. Since 2021, statewidehomicides have declined by 32 percent whileBaltimore City, which saw 201 homicides in 2024, has recorded a 41-percent decrease during the same timeframe. The U.S. Attorney's Office credits strategic collaboration between Federal, State, City law enforcement, and community partners for the positive direction.","US Fed News","Newswire",NA,NA,NA,NA
"27","Md. U.S. Attorney's Office Credits Multi-Jurisdictional Crime Reduction Collaborative for Sharp Decline in Violent Crime Across Maryland","January 4, 2025 Saturday","U.S. Federal","Targeted News Service","News","636",NA,"636",NA,"Targeted News Service",NA,"US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","Md. U.S. Attorney's Office Credits Multi-Jurisdictional Crime Reduction Collaborative for Sharp Decline in Violent Crime Across Maryland","Md. U.S. Attorney's Office Credits Multi-Jurisdictional Crime Reduction Collaborative for Sharp Decline in Violent Crime Across Maryland The office of the U.S. Attorney for the District of Maryland issued the following news release: * * * Baltimore City records lowest homicide total since 2011. * * * Today, the U.S. Attorney's Office for the District of Maryland announced that statewide violent crime continued to significantly decline in 2024. In Maryland , homicides and non-fatal shootings are down, and Baltimore City's violent-crime rate dropped for the third year in a row. Since 2021, statewide homicides have declined by 32 percent while Baltimore City, which saw 201 homicides in 2024, has recorded a 41-percent decrease during the same timeframe. The U.S. Attorney's Office credits strategic collaboration between Federal, State, City law enforcement, and community partners for the positive direction.","Targeted News Service","Newswire",NA,NA,NA,NA
"28","Top 10 Cities with the Highest Crime Rates in the United States : Crime Rates and Analysis","December 25, 2024 Wednesday","International","CE Noticias Financieras English","News","522",NA,"522","Mexico",NA,NA,"FEDERAL BUREAU OF INVESTIGATION","FEDERAL BUREAU OF INVESTIGATION","Top 10 Cities with the Highest Crime Rates in the United States : Crime Rates and Analysis","Top 10 Cities with the Highest Crime Rates in the United States : Crime Rates and Analysis Which U.S. cities should you be wary of because of their high crime rates? According to information from the Federal Bureau of Investigation (FBI), 10 jurisdictions that stand out for being dangerous.","CE Noticias Financieras English","Newspaper",NA,NA,NA,NA
"29","Baltimore in 2025 offers real reasons for optimism","January 1, 2025 Wednesday","Maryland","The Baltimore Sun","News","683","MAIN;A;Pg. 12","683",NA,NA,NA,"ROOTS CORP","ROOTS CORP","Baltimore in 2025 offers real reasons for optimism","Baltimore in 2025 offers real reasons for optimism The cargo ship Dali is stuck under part of the structure of the Francis Scott Key Bridge after the ship hit the bridge on March 26, 2024, as seen from Pasadena, Md. AP Photo/Mark Schiefelbein, File "" Maryland Tough. Baltimore Strong."" You know that when that's your catchphrase, it's been a challenging year. And so it was in a 2024 that was headlined by the March 26 collapse of the Francis Scott Key Bridge after it was struck by the container ship Dali in the early morning hours causing six members of a highway maintenance crew to plunge to their deaths in the chilly waters of the Patapsco River. It was a horrifying event with broad and costly ramifications for shipping at the Port of Baltimore and commuting in the Baltimore area. Yet by year's end, Congress agreed to fund a $2 billion replacement span - with pre-construction activities, including soil sampling and surveying, expected to start in a week. That was an extraordinary turnaround by any standard - and shoutout to Maryland 's delegation to Congress and Gov. Wes Moore for helping make it happen. Given the many challenges that lie ahead for this city and state, it was also instructive. And so, we would humbly submit, the big events of 2024 continue to echo. Whether we learn from our successes (and mistakes) will surely define our 2025. Our picks for the other Top 5 news events of the past year - and what they mean for the 12 months ahead.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"30","Amid staffing shortage, Baltimore Police create new patrol shift","December 27, 2024 Friday","Maryland","The Baltimore Sun","News","488","MAIN;A;Pg. 4","488",NA,"Jessica Babb FOX45 News",NA,"FRATERNAL ORDER OF POLICE GRAND LODGE","FRATERNAL ORDER OF POLICE GRAND LODGE","Amid staffing shortage, Baltimore Police create new patrol shift","Amid staffing shortage, Baltimore Police create new patrol shift As the Baltimore Police Department addresses staffing challenges, it plans to create a new patrol shift beginning in January. Based on a new labor agreement between BPD and the Baltimore City Fraternal Order of Police, the new shift will be created to provide additional coverage during high-call times. In addition to salary increases and one-time bonuses for eligible officers, the ""David Shift"" will increase the number of patrol officers on the street.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"31","ATTORNEY GENERAL BROWN ANNOUNCES SEVENTH GUILTY PLEA IN NORTHWEST BALTIMORE ""LND"" DRUG TRAFFICKING CASE","November 25, 2024 Monday","U.S. Federal","States News Service","News","482",NA,"482",NA,"States News Service",NA,NA,NA,"ATTORNEY GENERAL BROWN ANNOUNCES SEVENTH GUILTY PLEA IN NORTHWEST BALTIMORE ""LND"" DRUG TRAFFICKING CASE","ATTORNEY GENERAL BROWN ANNOUNCES SEVENTH GUILTY PLEA IN NORTHWEST BALTIMORE ""LND"" DRUG TRAFFICKING CASE The following information was released by the Maryland Attorney General: Attorney General Anthony G. Brown today announced that seven defendants have pleaded guilty in the Longwood-North-Dukeland (LND) drug-trafficking case, which the Office of the Attorney General announced earlier this year.","States News Service","Newswire",NA,NA,NA,NA
"32","Key West-inspired bar The Undefeated opens in Fells Point","January 30, 2025 Thursday","Maryland","The Baltimore Sun","News","280","MAIN;A;Pg. 9","280",NA,"Racquel Bazos",NA,"TRONC INC.","TRONC INC.","Key West-inspired bar The Undefeated opens in Fells Point","Key West-inspired bar The Undefeated opens in Fells Point The Undefeated is now open in Fells Point, located next door to the Waterfront Hotel. Atlas Restaurant Group The newest bar venture from Atlas Restaurant Group, The Undefeated, is now open in Fells Point, about six months after coming to an agreement with neighbors who initially opposed the project.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
